Issue Key,Epic,Issue Type,Summary,Description,Priority,Sprint,Status,Owner Role,Reporter,Assignee Team,Dependency,Labels,Component,Acceptance Summary
CIMS-001,EPIC-01,Epic,Case Intake & Reference Management,"Referensi perkara, sinkronisasi sumber resmi, source tracking, audit intake",P0,Sprint 1,To Do,PO,PO,BA+BE,,core;case-intake,case-reference,"Perkara dapat direferensikan, divalidasi, dan diaudit"
CIMS-002,EPIC-01,Story,Create or reference case,"Sebagai panitera saya ingin mereferensikan data perkara dari sumber resmi agar proses dimulai dari data tervalidasi",P0,Sprint 1,To Do,BA,PO,BE,CIMS-001,story;case-intake,case-reference,"Nomor perkara unik, metadata dasar tersimpan, source tercatat"
CIMS-003,EPIC-01,Story,Case sync history,"Sebagai panitera saya ingin melihat riwayat sinkronisasi data perkara",P1,Sprint 1,To Do,BA,PO,BE,CIMS-002,story;case-sync,case-reference,"Waktu sync, status sync, dan delta perubahan dapat dilihat"
CIMS-004,EPIC-13,Story,Base authentication and role shell,"Sebagai admin saya ingin login dasar dan role shell tersedia untuk membatasi akses awal",P0,Sprint 1,To Do,SE,PO,BE+FE,,security;auth,security-access,"Login dasar aktif, role awal tersedia, unauthorized blocked"
CIMS-005,EPIC-02,Epic,Judicial Determination Gate,"Pencatatan referensi penetapan dan hard gate sebelum proses lanjut",P0,Sprint 2,To Do,PO,PO,BA+BE,CIMS-001,epic;determination,judicial-determination,"Penetapan sah menjadi prasyarat proses berikutnya"
CIMS-006,EPIC-02,Story,Record judicial determination,"Sebagai panitera saya ingin mencatat referensi penetapan persidangan elektronik",P0,Sprint 2,To Do,BA,PO,BE,CIMS-005,story;determination,judicial-determination,"Nomor penetapan, tanggal, hash/ref, status sah tersimpan"
CIMS-007,EPIC-02,Story,Prevent room creation before valid determination,"Sebagai sistem saya harus mencegah pembuatan ruang sidang sebelum penetapan sah",P0,Sprint 2,To Do,BE,PO,BE,CIMS-006,story;hard-gate,judicial-determination,"UI dan backend menolak create session jika syarat belum terpenuhi"
CIMS-008,EPIC-03,Epic,Smart Scheduling,"Pembuatan jadwal, conflict detection, reschedule, cancel, calendar view",P0,Sprint 3,To Do,PO,PO,BA+BE+FE,CIMS-006,epic;scheduling,scheduling,"Jadwal dapat dikelola dengan histori dan deteksi konflik"
CIMS-009,EPIC-03,Story,Create hearing schedule,"Sebagai panitera saya ingin membuat jadwal sidang berdasarkan data perkara",P0,Sprint 3,To Do,BA,PO,BE+FE,CIMS-008,story;schedule-create,scheduling,"Tanggal, jam, durasi, pihak, agenda, status tersimpan"
CIMS-010,EPIC-03,Story,Detect schedule conflicts,"Sebagai panitera saya ingin sistem mendeteksi konflik jadwal",P0,Sprint 3,To Do,BE,PO,BE,CIMS-009,story;conflict,scheduling,"Konflik hakim/panitera/slot/ruang terdeteksi dan terlihat"
CIMS-011,EPIC-03,Story,Reschedule and cancel hearing,"Sebagai panitera saya ingin mengubah atau membatalkan jadwal tanpa kehilangan histori",P0,Sprint 3,To Do,BE,PO,BE+FE,CIMS-009,story;reschedule,scheduling,"Alasan perubahan wajib, histori lama baru tersimpan"
CIMS-012,EPIC-05,Epic,Notification and Acknowledgment,"Pemberitahuan resmi, ack, reminder, escalation",P0,Sprint 4,To Do,PO,PO,BA+BE+FE,CIMS-009,epic;notification,notification-ack,"Notifikasi dan ack dapat dibuktikan dan dipantau"
CIMS-013,EPIC-05,Story,Send official notification,"Sebagai panitera saya ingin mengirim pemberitahuan resmi jadwal sidang",P0,Sprint 4,To Do,BA,PO,BE+FE,CIMS-012,story;notification-send,notification-ack,"Penerima, kanal, waktu kirim, bukti kirim tersimpan"
CIMS-014,EPIC-05,Story,Acknowledgment tracking,"Sebagai penerima saya ingin memberikan acknowledgment atas notifikasi",P0,Sprint 4,To Do,BE,PO,BE+FE,CIMS-013,story;ack,notification-ack,"Ack time, ack status, overdue indicator tersedia"
CIMS-015,EPIC-05,Story,Reminder and escalation,"Sebagai sistem saya ingin mengirim reminder dan menandai overdue ack",P1,Sprint 4,To Do,BE,PO,BE,CIMS-014,story;reminder;escalation,notification-ack,"Reminder H-1 aktif, overdue list tersedia"
CIMS-016,EPIC-04,Epic,Virtual Courtroom Integration,"Pembuatan meeting virtual dan metadata session",P0,Sprint 5,To Do,PO,PO,BE+DO,CIMS-007;CIMS-009,epic;virtual-courtroom,virtual-courtroom,"Meeting provider dibuat dari jadwal sah dan bisa dipantau"
CIMS-017,EPIC-04,Story,Create Zoom meeting from approved schedule,"Sebagai operator saya ingin meeting Zoom dibuat otomatis dari jadwal sah",P0,Sprint 5,To Do,BE,PO,BE+DO,CIMS-016,story;zoom-integration,virtual-courtroom,"Meeting ID, passcode, join URL, provider status tersimpan"
CIMS-018,EPIC-04,Story,Track meeting status,"Sebagai operator saya ingin melihat status rapat virtual",P1,Sprint 5,To Do,BE,PO,BE,CIMS-017,story;meeting-status,virtual-courtroom,"Status scheduled/live/ended/canceled tersedia"
CIMS-019,EPIC-06,Epic,Readiness Assurance,"Checklist kesiapan, technical test, hard gate READY",P0,Sprint 6,To Do,PO,PO,BA+BE+FE,CIMS-009;CIMS-017,epic;readiness,readiness,"Sidang hanya READY jika syarat minimum terpenuhi"
CIMS-020,EPIC-06,Story,Checklist readiness,"Sebagai petugas saya ingin mengisi checklist kesiapan",P0,Sprint 6,To Do,BA,PO,BE+FE,CIMS-019,story;readiness-checklist,readiness,"Item wajib dan kondisional dapat diisi dan diverifikasi"
CIMS-021,EPIC-06,Story,Technical test logging,"Sebagai Tim TI saya ingin mencatat hasil technical test",P1,Sprint 6,To Do,BE,PO,BE+FE,CIMS-020,story;technical-test,readiness,"Audio, video, internet utama/cadangan, operator tercatat"
CIMS-022,EPIC-07,Epic,Identity Presence and Room Verification,"Verifikasi identitas, kehadiran, ruang terdakwa",P1,Sprint 7,To Do,PO,PO,BA+BE+FE,CIMS-019,epic;verification,identity-verification,"Peserta, kehadiran, dan ruang dapat diverifikasi"
CIMS-023,EPIC-07,Story,Participant identity verification,"Sebagai petugas saya ingin mencatat verifikasi identitas peserta",P1,Sprint 7,To Do,BA,PO,BE+FE,CIMS-022,story;participant-verification,identity-verification,"Verifier, waktu, hasil verifikasi tersimpan"
CIMS-024,EPIC-07,Story,Attendance tracking,"Sebagai operator saya ingin mencatat kehadiran peserta",P1,Sprint 7,To Do,BE,PO,BE+FE,CIMS-023,story;attendance,identity-verification,"Waktu hadir/keluar dan status hadir tersedia"
CIMS-025,EPIC-08,Epic,Hearing Execution and Status Control,"Kontrol status sidang dan event timeline",P1,Sprint 8,To Do,PO,PO,BE+FE,CIMS-020;CIMS-024,epic;hearing,hearing-control,"Sidang dapat dimulai, diskors, ditunda, diselesaikan"
CIMS-026,EPIC-08,Story,Update hearing status,"Sebagai operator saya ingin mengubah status sidang sesuai workflow",P1,Sprint 8,To Do,BE,PO,BE+FE,CIMS-025,story;status-control,hearing-control,"Perubahan status sah, tercatat, dan dibatasi per role"
CIMS-027,EPIC-08,Story,Record hearing events and outcome,"Sebagai panitera saya ingin mencatat peristiwa penting dan hasil sidang",P1,Sprint 8,To Do,BA,PO,BE+FE,CIMS-026,story;hearing-event,hearing-control,"Event timeline dan next action dapat disimpan"
CIMS-028,EPIC-11,Epic,Evidence and Auditability,"Document reference, metadata rekaman, audit viewer",P1,Sprint 9,To Do,PO,PO,BE+DL,CIMS-025,epic;evidence;audit,document-evidence,"Evidence operasional dan audit trail dapat ditelusuri"
CIMS-029,EPIC-11,Story,Reference official documents,"Sebagai panitera saya ingin mereferensikan dokumen resmi ke perkara",P1,Sprint 9,To Do,BA,PO,BE+DL,CIMS-028,story;document-reference,document-evidence,"Jenis dokumen, hash/ref, lokasi, versi tersimpan"
CIMS-030,EPIC-11,Story,Audit log explorer,"Sebagai auditor internal saya ingin menelusuri audit log event penting",P1,Sprint 9,To Do,BE,PO,BE+FE,CIMS-028,story;audit-viewer,document-evidence,"Actor, waktu, object, action, result dapat difilter"
CIMS-031,EPIC-09,Epic,Incident Cybersecurity and Continuity,"Gangguan teknis, insiden siber, force majeure, mutasi",P2,Sprint 10,To Do,PO,PO,BE+DO+SE,CIMS-025,epic;incident,incident-continuity,"Exception flow dapat dicatat dan ditangani"
CIMS-032,EPIC-09,Story,Technical incident logging,"Sebagai operator saya ingin mencatat gangguan teknis",P2,Sprint 10,To Do,BE,PO,BE+FE,CIMS-031,story;technical-incident,incident-continuity,"Jenis, waktu, dampak, tindakan, status pemulihan tersedia"
CIMS-033,EPIC-09,Story,Cyber incident workflow,"Sebagai security lead saya ingin membedakan dan menangani insiden siber",P2,Sprint 10,To Do,SE,PO,BE+DO,CIMS-032,story;cyber-incident,incident-continuity,"Severity, data terdampak, pelaporan 1x24 tercatat"
CIMS-034,EPIC-13,Epic,Security Access and Administration,"MFA, role management, config, access hardening",P2,Sprint 11,To Do,PO,PO,BE+DO+SE,CIMS-004,epic;security,security-access,"Role, MFA, dan config admin siap produksi"
CIMS-035,EPIC-13,Story,MFA for sensitive roles,"Sebagai admin keamanan saya ingin MFA aktif untuk role sensitif",P2,Sprint 11,To Do,SE,PO,BE+FE,CIMS-034,story;mfa,security-access,"MFA wajib, login tanpa faktor kedua ditolak"
CIMS-036,EPIC-13,Story,Admin configuration console,"Sebagai admin saya ingin mengelola provider, channel, SLA, dan role",P2,Sprint 11,To Do,BE,PO,BE+FE,CIMS-034,story;admin-config,security-access,"Config dapat diubah oleh role tertentu dan tercatat"
CIMS-037,EPIC-12,Epic,Monitoring KPI and Reporting,"Dashboard, KPI, report export",P2,Sprint 12,To Do,PO,PO,BE+FE+DL,CIMS-030,epic;monitoring,monitoring-reporting,"KPI operasional dan laporan dasar tersedia"
CIMS-038,EPIC-12,Story,Operational dashboard,"Sebagai manajemen saya ingin melihat dashboard status proses",P2,Sprint 12,To Do,FE,PO,FE+BE,CIMS-037,story;dashboard,monitoring-reporting,"Readiness, overdue ack, incident aktif, sidang status tampil"
CIMS-039,EPIC-12,Story,KPI and report export,"Sebagai PMO saya ingin mengekspor KPI dan laporan periodik",P2,Sprint 12,To Do,DL,PO,BE+DL,CIMS-038,story;kpi-report,monitoring-reporting,"KPI dihitung, export tersedia, log pembuatan report tercatat"
CIMS-040,EPIC-10,Epic,Appeal Verdict and Post Verdict Administration,"Alur pembacaan putusan banding dan tracking administratif",P3,Sprint 13,To Do,PO,PO,BA+BE+FE,CIMS-037,epic;appeal,appeal-verdict,"Area pasca-putusan dapat dipantau jika in scope"
CIMS-041,EPIC-10,Story,Appeal verdict hearing flow,"Sebagai panitera saya ingin mencatat pembacaan putusan banding",P3,Sprint 13,To Do,BA,PO,BE+FE,CIMS-040,story;appeal-flow,appeal-verdict,"Tanggal baca, perubahan tanggal, hadir/tidak hadir tercatat"
CIMS-042,EPIC-10,Story,Same-day upload and 7-day transfer tracking,"Sebagai petugas saya ingin melacak same-day upload dan 7-day transfer",P3,Sprint 13,To Do,BE,PO,BE+FE,CIMS-041,story;post-verdict-sla,appeal-verdict,"Due date, overdue indicator, bukti realisasi tersedia"
CIMS-043,PROGRAM,Task,SIT end-to-end execution,"Jalankan SIT seluruh skenario inti dan burn down defect",P0,Sprint 14,To Do,QA,PO,QA+BE+FE,CIMS-027;CIMS-030;CIMS-039,qa;sit,cross-module,"Skenario inti lulus SIT dan defect kritis ditutup"
CIMS-044,PROGRAM,Task,UAT and release candidate,"Laksanakan UAT lintas peran, bug fix final, release candidate",P0,Sprint 15,To Do,QA,PO,QA+UAT+BE+FE,CIMS-043,uat;release-candidate,cross-module,"UAT lulus, blocker nol, RC disetujui"
CIMS-045,PROGRAM,Task,Go-live and hypercare,"Deploy v1.0 ke production dan aktifkan hypercare",P0,Sprint 16,To Do,DO,PO,DO+BE+FE+QA,CIMS-044,golive;hypercare,cross-module,"Deploy sukses, monitoring aktif, daily hypercare berjalan"
